# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 19.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    8.550000     0.0000000000e+00     0.0000000000e+00     1.9560958663e-03
    8.600000     0.0000000000e+00     0.0000000000e+00     2.4464372342e-03
    8.650000     0.0000000000e+00     0.0000000000e+00     2.8969316850e-03
    8.700000     0.0000000000e+00     0.0000000000e+00     3.2470171998e-03
    8.750000     0.0000000000e+00     0.0000000000e+00     3.4443506194e-03
    8.800000     0.0000000000e+00     0.0000000000e+00     3.4575938912e-03
    8.850000     0.0000000000e+00     0.0000000000e+00     3.2845615007e-03
    8.900000     0.0000000000e+00     0.0000000000e+00     2.9528269932e-03
    8.950000     0.0000000000e+00     0.0000000000e+00     2.5125918800e-03
    9.000000     0.0000000000e+00     0.0000000000e+00     2.0244436308e-03
    9.050000     0.0000000000e+00     0.0000000000e+00     1.5463099979e-03
    9.100000     0.0000000000e+00     0.0000000000e+00     1.1238384218e-03
    9.150000     0.0000000000e+00     0.0000000000e+00     7.8690013921e-04
    9.200000     0.0000000000e+00     0.0000000000e+00     5.5287404826e-04
    9.250000     0.0000000000e+00     0.0000000000e+00     4.3573481120e-04
    9.300000     0.0000000000e+00     0.0000000000e+00     4.5912996912e-04
    9.350000     0.0000000000e+00     0.0000000000e+00     6.7125255408e-04
    9.400000     0.0000000000e+00     0.0000000000e+00     1.1586678340e-03
    9.450000     0.0000000000e+00     0.0000000000e+00     2.0548185735e-03
    9.500000     0.0000000000e+00     0.0000000000e+00     3.5370432365e-03
    9.550000     0.0000000000e+00     0.0000000000e+00     5.8050495482e-03
    9.600000     0.0000000000e+00     0.0000000000e+00     9.0360378934e-03
    9.650000     0.0000000000e+00     0.0000000000e+00     1.3318654264e-02
    9.700000     0.0000000000e+00     0.0000000000e+00     1.8579025559e-02
    9.750000     0.0000000000e+00     0.0000000000e+00     2.4523322557e-02
    9.800000     0.0000000000e+00     0.0000000000e+00     3.0626080611e-02
    9.850000     0.0000000000e+00     0.0000000000e+00     3.6185944543e-02
    9.900000     0.0000000000e+00     0.0000000000e+00     4.0449567187e-02
    9.950000     0.0000000000e+00     0.0000000000e+00     4.2776659181e-02
   10.000000     0.0000000000e+00     0.0000000000e+00     4.2797187669e-02
   10.050000     0.0000000000e+00     0.0000000000e+00     4.0507724380e-02
   10.100000     0.0000000000e+00     0.0000000000e+00     3.6272492216e-02
   10.150000     0.0000000000e+00     0.0000000000e+00     3.0728807231e-02
   10.200000    -0.0000000000e+00     0.0000000000e+00     2.4630947100e-02
   10.250000    -0.0000000000e+00    -0.0000000000e+00     1.8685477391e-02
   10.300000    -0.0000000000e+00    -0.0000000000e+00     1.3427529748e-02
   10.350000    -0.0000000000e+00    -0.0000000000e+00     9.1657302040e-03
   10.400000    -0.0000000000e+00    -0.0000000000e+00     5.9955249279e-03
   10.450000    -0.0000000000e+00    -0.0000000000e+00     3.8590434443e-03
   10.500000     0.0000000000e+00    -0.0000000000e+00     2.6210880192e-03
   10.550000     0.0000000000e+00     0.0000000000e+00     2.1346439383e-03
   10.600000     0.0000000000e+00     0.0000000000e+00     2.2800521022e-03
