# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 39.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   11.900000     0.0000000000e+00     0.0000000000e+00     5.9317620954e-03
   11.950000     0.0000000000e+00     0.0000000000e+00     9.4008189207e-03
   12.000000     0.0000000000e+00     0.0000000000e+00     1.4108405917e-02
   12.050000     0.0000000000e+00     0.0000000000e+00     2.0045852134e-02
   12.100000    -0.0000000000e+00    -0.0000000000e+00     2.6970401275e-02
   12.150000    -0.0000000000e+00    -0.0000000000e+00     3.4378088720e-02
   12.200000    -0.0000000000e+00    -0.0000000000e+00     4.1552462460e-02
   12.250000    -0.0000000000e+00    -0.0000000000e+00     4.7697122985e-02
   12.300000    -0.0000000000e+00    -0.0000000000e+00     5.2126175665e-02
   12.350000    -0.0000000000e+00    -0.0000000000e+00     5.4454726437e-02
   12.400000    -0.0000000000e+00    -0.0000000000e+00     5.4718611368e-02
   12.450000    -0.0000000000e+00    -0.0000000000e+00     5.3369403560e-02
   12.500000    -0.0000000000e+00    -0.0000000000e+00     5.1134318684e-02
   12.550000     0.0000000000e+00     0.0000000000e+00     4.8783668103e-02
   12.600000     0.0000000000e+00     0.0000000000e+00     4.6887311310e-02
   12.650000     0.0000000000e+00     0.0000000000e+00     4.5647908611e-02
   12.700000     0.0000000000e+00     0.0000000000e+00     4.4869126710e-02
   12.750000     0.0000000000e+00     0.0000000000e+00     4.4064149798e-02
   12.800000     0.0000000000e+00     0.0000000000e+00     4.2656783814e-02
   12.850000     0.0000000000e+00     0.0000000000e+00     4.0196236285e-02
   12.900000     0.0000000000e+00     0.0000000000e+00     3.6508778223e-02
   12.950000     0.0000000000e+00     0.0000000000e+00     3.1741272412e-02
   13.000000     0.0000000000e+00     0.0000000000e+00     2.6296870551e-02
   13.050000     0.0000000000e+00     0.0000000000e+00     2.0701808053e-02
   13.100000     0.0000000000e+00     0.0000000000e+00     1.5459442432e-02
   13.150000     0.0000000000e+00     0.0000000000e+00     1.0940330340e-02
   13.200000     0.0000000000e+00     0.0000000000e+00     7.3332675746e-03
   13.250000     0.0000000000e+00     0.0000000000e+00     4.6552674684e-03
   13.300000     0.0000000000e+00     0.0000000000e+00     2.7998850758e-03
   13.350000     0.0000000000e+00     0.0000000000e+00     1.5978411769e-03
   13.400000     0.0000000000e+00     0.0000000000e+00     8.6934663802e-04
   13.450000     0.0000000000e+00     0.0000000000e+00     4.5791791494e-04
   13.500000     0.0000000000e+00     0.0000000000e+00     2.4505228970e-04
   13.550000    -0.0000000000e+00    -0.0000000000e+00     1.5076830136e-04
   13.600000    -0.0000000000e+00    -0.0000000000e+00     1.2647451002e-04
   13.650000    -0.0000000000e+00    -0.0000000000e+00     1.4539950410e-04
   13.700000    -0.0000000000e+00    -0.0000000000e+00     1.9370404970e-04
   13.750000    -0.0000000000e+00    -0.0000000000e+00     2.6363250045e-04
   13.800000    -0.0000000000e+00    -0.0000000000e+00     3.4908536749e-04
   13.850000     0.0000000000e+00    -0.0000000000e+00     4.4367966293e-04
   13.900000     0.0000000000e+00    -0.0000000000e+00     5.4135199138e-04
   13.950000     0.0000000000e+00     0.0000000000e+00     6.3952813013e-04
   14.000000     0.0000000000e+00     0.0000000000e+00     7.4465357278e-04
   14.050000     0.0000000000e+00     0.0000000000e+00     8.7940132614e-04
   14.100000     0.0000000000e+00     0.0000000000e+00     1.0901506758e-03
   14.150000     0.0000000000e+00     0.0000000000e+00     1.4523995150e-03
   14.200000     0.0000000000e+00     0.0000000000e+00     2.0707996095e-03
   14.250000     0.0000000000e+00     0.0000000000e+00     3.0699685386e-03
   14.300000     0.0000000000e+00     0.0000000000e+00     4.5729927324e-03
   14.350000     0.0000000000e+00     0.0000000000e+00     6.6675170498e-03
   14.400000     0.0000000000e+00     0.0000000000e+00     9.3647407950e-03
   14.450000     0.0000000000e+00     0.0000000000e+00     1.2563169138e-02
   14.500000     0.0000000000e+00     0.0000000000e+00     1.6033490548e-02
   14.550000     0.0000000000e+00     0.0000000000e+00     1.9439668078e-02
   14.600000     0.0000000000e+00     0.0000000000e+00     2.2402022327e-02
   14.650000     0.0000000000e+00     0.0000000000e+00     2.4592320034e-02
   14.700000     0.0000000000e+00     0.0000000000e+00     2.5834512008e-02
   14.750000     0.0000000000e+00     0.0000000000e+00     2.6175704774e-02
   14.800000     0.0000000000e+00     0.0000000000e+00     2.5896143160e-02
   14.850000     0.0000000000e+00     0.0000000000e+00     2.5444841768e-02
   14.900000     0.0000000000e+00     0.0000000000e+00     2.5313134163e-02
   14.950000     0.0000000000e+00     0.0000000000e+00     2.5882091014e-02
   15.000000     0.0000000000e+00     0.0000000000e+00     2.7292191448e-02
   15.050000     0.0000000000e+00     0.0000000000e+00     2.9379621594e-02
   15.100000     0.0000000000e+00     0.0000000000e+00     3.1703754570e-02
   15.150000     0.0000000000e+00     0.0000000000e+00     3.3660901536e-02
   15.200000     0.0000000000e+00     0.0000000000e+00     3.4650224603e-02
   15.250000     0.0000000000e+00     0.0000000000e+00     3.4239431485e-02
   15.300000     0.0000000000e+00     0.0000000000e+00     3.2278024730e-02
   15.350000     0.0000000000e+00     0.0000000000e+00     2.8925132893e-02
   15.400000     0.0000000000e+00     0.0000000000e+00     2.4589916707e-02
   15.450000     0.0000000000e+00     0.0000000000e+00     1.9812500174e-02
   15.500000     0.0000000000e+00     0.0000000000e+00     1.5130232456e-02
   15.550000     0.0000000000e+00     0.0000000000e+00     1.0972300513e-02
   15.600000     0.0000000000e+00     0.0000000000e+00     7.6085608603e-03
   15.650000    -0.0000000000e+00     0.0000000000e+00     5.1553701897e-03
   15.700000    -0.0000000000e+00     0.0000000000e+00     3.6221642425e-03
   15.750000    -0.0000000000e+00     0.0000000000e+00     2.9733174844e-03
   15.800000    -0.0000000000e+00    -0.0000000000e+00     3.1805494319e-03
   15.850000    -0.0000000000e+00    -0.0000000000e+00     4.2483739084e-03
