H2O_gs ID=1 IR-X	H2O_gs ID=1 IR-Y	H2O_es ID=1 IR-X	H2O_es ID=1 IR-Y
600	0.00362594553654758	600	0.021032345518352424
605	0.0036599911820610247	605	0.02126015121172418
610	0.0036945294163726844	610	0.021492127049217997
615	0.00372956985701605	615	0.021728379372144346
620	0.003765122357930545	620	0.02196901797174825
625	0.003801197016474067	625	0.022214156224827128
630	0.003837804180679461	630	0.02246391123561491
635	0.0038749544567646815	635	0.02271840398426549
640	0.0039126587169068215	640	0.022977759482288848
645	0.003950928107290666	645	0.023242106935314352
650	0.003989774056442898	650	0.023511579913578884
655	0.004029208283863606	655	0.023786316530561624
660	0.0040692428089672845	660	0.02406645963021353
665	0.0041098899603460555	665	0.024352156983257513
670	0.0041511623853684775	670	0.024643561493065114
675	0.004193073060127882	675	0.024940831411647345
680	0.004235635299754885	680	0.025244130566331794
685	0.004278862769109375	685	0.02555362859773456
