# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          8.26827467      -7.77156117e-16     1.527370773253e-02     1.618039036089e-11    -7.915446076368e-12
          8.68168840      -5.55111512e-16     1.581776885629e-02     3.113997948390e-11    -1.084021761244e-12
          9.09510214      -4.16333634e-16     1.621614362560e-02     1.339941491096e-10    -5.092060106904e-11
          9.50851587      -3.33066907e-16     1.676828834146e-02     8.533040940506e-11    -1.477293842811e-10
          9.92192960      -4.44089210e-16     1.750858046184e-02     1.069691002442e-10    -2.027498169355e-10
         10.33534334      -7.21644966e-16     1.820621531678e-02     1.125046722450e-10    -2.356803641135e-10
         10.74875707      -6.93889390e-16     1.873094812380e-02     1.002606886402e-10    -2.424807021839e-10
         11.16217080      -8.32667268e-17     1.917001865117e-02     1.894084888932e-11    -2.329905157694e-10
         11.57558454      -1.11022302e-15     1.970733977467e-02     3.558664474212e-11    -1.873248223205e-10
         11.98899827      -2.22044605e-16     2.035797554915e-02    -6.165157273585e-11    -1.448468012200e-10
         12.40241200       0.00000000e+00     2.089799816859e-02    -5.242961620411e-11    -7.489653341963e-11
         12.81582574      -1.38777878e-16     2.119924008365e-02    -9.570522152558e-11    -1.794298043478e-11
         13.22923947      -3.88578059e-16     2.143626156615e-02    -1.228515067453e-10     3.156230832246e-11
         13.64265320      -2.22044605e-16     2.183361361480e-02    -1.342614908140e-10     6.283418230169e-11
         14.05606694      -5.55111512e-17     2.238318640427e-02    -1.246731606841e-10     6.352163239853e-11
         14.46948067       2.22044605e-16     2.287118300538e-02    -9.441780690622e-11     3.000977244483e-11
         14.88289440      -1.66533454e-16     2.315043320421e-02    -5.940892222611e-11    -2.888000949497e-11
         15.29630814       0.00000000e+00     2.331382059887e-02    -2.492184236758e-11    -9.914069565298e-11
         15.70972187      -2.77555756e-16     2.353517033837e-02     4.947597886940e-12    -1.685926953598e-10
         16.12313560      -6.66133815e-16     2.384627063526e-02     2.846833879744e-11    -2.314135549852e-10
         16.53654934      -6.93889390e-16     2.414533724552e-02     4.034772516093e-11    -2.946594079845e-10
         16.94996307      -1.38777878e-16     2.433828489105e-02     5.826894522443e-11    -3.527813596804e-10
         17.36337680       3.33066907e-16     2.445228363195e-02     6.517630879443e-11    -4.044569124062e-10
         17.77679054      -2.77555756e-17     2.461136599498e-02     6.307354638579e-11    -4.330287239895e-10
         18.19020427       5.27355937e-16     2.484908501927e-02     4.396261132911e-11    -4.212106219370e-10
         18.60361800      -4.44089210e-16     2.502336266632e-02     6.085354442575e-12    -3.709734741619e-10
         19.01703174      -4.99600361e-16     2.501405543192e-02    -4.729105995693e-11    -2.902851292674e-10
         19.43044547       6.10622664e-16     2.492970394216e-02    -1.068714006180e-10    -1.934745696985e-10
         19.84385921      -4.71844785e-16     2.499262751807e-02    -1.665094728764e-10    -1.037405716886e-10
         20.25727294      -4.99600361e-16     2.522768751668e-02    -2.515565533656e-10    -4.319566926370e-11
         20.67068667      -6.66133815e-16     2.540269860292e-02    -2.294768819411e-10     2.676880939134e-11
         21.08410041      -4.44089210e-16     2.532517827679e-02    -2.501714391201e-10     3.480682408963e-11
         21.49751414      -3.88578059e-16     2.507193361034e-02    -2.545417210342e-10     6.739497848685e-12
         21.91092787      -1.11022302e-16     2.484701236146e-02    -2.404560994762e-10    -5.189937368755e-11
         22.32434161      -4.99600361e-16     2.471461772333e-02    -2.027911172320e-10    -1.256408310724e-10
         22.73775534      -6.10622664e-16     2.458624920966e-02    -1.598157162164e-10    -2.107163332710e-10
         23.15116907      -8.60422844e-16     2.441532895286e-02    -1.211288847003e-10    -2.965809819955e-10
         23.56458281       2.77555756e-17     2.425465646621e-02    -9.411538215431e-11    -3.701816631008e-10
         23.97799654      -6.10622664e-16     2.412364578431e-02    -8.964251563270e-11    -4.204476766745e-10
         24.39141027      -2.77555756e-16     2.393361212515e-02    -1.093383161788e-10    -4.447020529597e-10
         24.80482401      -1.19348975e-15     2.358816834538e-02    -1.434492524766e-10    -4.348916782249e-10
         25.21823774      -6.66133815e-16     2.314589166642e-02    -1.885913647470e-10    -3.961315719891e-10
         25.63165147      -4.71844785e-16     2.280937704272e-02    -2.503575124990e-10    -3.344844401454e-10
         26.04506521      -4.99600361e-16     2.264527532685e-02    -3.238516121939e-10    -2.600963888710e-10
         26.45847894      -2.22044605e-16     2.243874766548e-02    -4.015725529882e-10    -1.834803420309e-10
         26.87189267      -1.11022302e-16     2.200276444070e-02    -4.654423513273e-10    -1.145905592637e-10
         27.28530641      -4.71844785e-16     2.144810410052e-02    -5.061044916488e-10    -5.944533754132e-11
         27.69872014      -3.88578059e-16     2.098804735980e-02    -5.183338203096e-10    -2.257882769641e-11
         28.11213387       3.88578059e-16     2.065022923937e-02    -5.043840900498e-10    -9.275247236928e-12
         28.52554761      -5.55111512e-17     2.025147106633e-02    -4.687041865736e-10    -2.383737651712e-11
         28.93896134      -3.33066907e-16     1.964889067160e-02    -4.429079325519e-10    -5.192113405883e-11
         29.35237507       0.00000000e+00     1.900193936283e-02    -4.238649431443e-10    -8.808553886297e-11
         29.76578881      -1.11022302e-16     1.853628651206e-02    -3.855382679774e-10    -1.431139651231e-10
         30.17920254      -2.77555756e-17     1.814355944956e-02    -3.293094685830e-10    -2.248778940839e-10
         30.59261627      -2.77555756e-16     1.760731851382e-02    -2.908997487339e-10    -3.087450295425e-10
         31.00603001      -1.38777878e-16     1.694727417415e-02    -2.980575786182e-10    -3.524425196133e-10
         31.41944374      -6.66133815e-16     1.629211347103e-02    -3.990416885813e-10    -4.173656975581e-10
         31.83285748      -3.88578059e-16     1.573054737597e-02    -4.724780566789e-10    -3.629927469717e-10
         32.24627121      -2.22044605e-16     1.521284658445e-02    -5.200244679315e-10    -2.908460139395e-10
         32.65968494       2.77555756e-16     1.455490164454e-02    -5.726228380354e-10    -2.324052061908e-10
         33.07309868       0.00000000e+00     1.377305662108e-02    -6.368305882631e-10    -1.683462258484e-10
         33.48651241      -9.43689571e-16     1.306677434813e-02    -6.918887685003e-10    -1.205533450843e-10
         33.89992614      -3.60822483e-16     1.245645244746e-02    -7.433040849492e-10    -8.197043044333e-11
         34.31333988       3.05311332e-16     1.185170448063e-02    -7.652998235130e-10    -4.111289086950e-11
         34.72675361      -5.27355937e-16     1.117174151965e-02    -7.795448730974e-10     1.945021921301e-11
